기업명,인증연도,제품명
석전,2024,[245] 투수 콘크리트 제품
청송퍼니처,2024,[176] 교육용 목제 가구
태원산업,2024,[304] 업소용 식기세척기용 세제
아메리칸비앤케이,2024,[221] 수도꼭지
리치룩스,2024,[209] 일반조명용 LED 램프
케이알,2024,[209] 일반조명용 LED 램프
현성세라믹,2024,[745] 블록·타일·판재류
다성기업,2024,[245] 투수 콘크리트 제품
장애인인권센터,2024,[265] 발광다이오드 전광판
글로벌에스티,2024,[221] 수도꼭지
칼렛바이오,2024,[103] 종이 점착테이프 및 종이 점착시트
금강로직스,2024,[746] 골재 및 미분말
아모스아인스가구,2024,[174] 사무용 칸막이
리엔산업,2024,[483] 침대
그린팩토리,2024,[241] 페인트
영등산업,2024,[245] 투수 콘크리트 제품
한국도시녹화,2024,[746] 골재 및 미분말
코웨이,2024,[483] 침대
삼척에코건자재,2024,[746] 골재 및 미분말
디에프,2024,[765] 소화기
홍천산업,2024,[245] 투수 콘크리트 제품
금호이앤지,2024,[209] 일반조명용 LED 램프
영남플륨,2024,[721] 합성수지 제품
애니체,2024,[172] 가구
경도계전,2024,[225] 수도 계량기
비젼세라믹,2024,[745] 블록·타일·판재류
선민판넬,2024,[723] 목재 성형제품
센트온,2024,[322] 방향제
투에이치,2024,[250] 창호 및 창호부속품
Faire+,2024,[254] 장식용 섬유 제품
우리화학,2024,[721] 합성수지 제품
루멘에어텍,2024,[210] LED 등기구
쏘노,2024,[251] 접착제
그린산업개발,2024,[723] 목재 성형제품
한길산업조명,2024,[202] 형광램프용 안정기
케이에스벽지특판,2024,[242] 벽지
도루코리빙,2024,[727] 바이오매스 합성수지 제품
쏘빛,2024,[209] 일반조명용 LED 램프
한솔이앤씨,2024,[241] 페인트
튼튼기업,2024,[172] 가구
직연,2024,[250] 창호 및 창호부속품
케이에스시스템,2024,[250] 창호 및 창호부속품
문테크,2024,[250] 창호 및 창호부속품
네이처바이오,2024,[305] 다목적 세정제
사단법인 한국사회적일자리개발원,2024,[144] 개인용 컴퓨터
제이제이코리아,2024,[209] 일반조명용 LED 램프
유피씨,2024,[724] 생분해성 수지 제품
새한합성산업,2024,[721] 합성수지 제품
한국아이엘비,2024,[245] 투수 콘크리트 제품
모티프,2024,[252] 장식용 합성수지 시트
세광산업조명,2024,[210] LED 등기구
티앤씨더블유,2024,[724] 생분해성 수지 제품
이노스,2024,[726] 목재.합성수지 복합 성형 제품
대길환경,2024,[743] 무기성 토목·건축 자재
효성첨단소재,2024,[246] 실내용 바닥 장식재
에쓰-오일,2024,[701] 유류
대웅판넬,2024,[248] 벽 및 천장 마감재
태산산업,2024,[721] 합성수지 제품
다주,2024,[241] 페인트
그린공간,2024,[722] 고무제품
에이디인터내셔날,2024,[322] 방향제
그린바이오켐,2024,[304] 업소용 식기세척기용 세제
조선호텔앤리조트,2024,[801] 호텔 서비스
두온에너지원,2024,[241] 페인트
모현석산,2024,[746] 골재 및 미분말
대경폴리켐,2024,[607] 수처리제
대명콘크리트,2024,[245] 투수 콘크리트 제품
동원라이팅,2024,[210] LED 등기구
우신비앰피,2024,[723] 목재 성형제품
예나,2024,[250] 창호 및 창호부속품
엔씨에이취코리아,2024,[655] 부품·장치 세척기
신명,2024,[246] 실내용 바닥 장식재
한국스치로폴,2024,[243] 보온·단열재
광오라이팅,2024,[210] LED 등기구
기백판넬,2024,[723] 목재 성형제품
금정,2024,[251] 접착제
에이스침대,2024,[483] 침대
더죤테크,2024,[221] 수도꼭지
대왕페이퍼,2024,[321] 화장지
삼인싸이언스,2024,[172] 가구
토디이노베이션,2024,[223] 대변기
창조라이팅,2024,[210] LED 등기구
명화콘크리트,2024,[745] 블록·타일·판재류
삼현이피에스,2024,[243] 보온·단열재
코레드라이팅,2024,[209] 일반조명용 LED 램프
도성개발,2024,[745] 블록·타일·판재류
홍성브레이크,2024,[507] 비석면 운송 부품
굿워크,2024,[321] 화장지
토모우드,2024,[726] 목재.합성수지 복합 성형 제품
태양의집직업재활원,2024,[606] 포장재
금강알앤에이,2024,[746] 골재 및 미분말
광성산업,2024,[724] 생분해성 수지 제품
다인폼,2024,[243] 보온·단열재
신용건업,2024,[250] 창호 및 창호부속품
다해컨스텍,2024,[241] 페인트
한영공업사,2024,[721] 합성수지 제품
휴먼바이오,2024,[305] 다목적 세정제
라온이엔지,2024,[244] 건설용 방수재
산들마루,2024,[246] 실내용 바닥 장식재
썬래이,2024,[209] 일반조명용 LED 램프
더엠알오,2024,[265] 발광다이오드 전광판
삼원미터텍,2024,[742] 주물용 동 합금
보정에스피,2024,[721] 합성수지 제품
폴리우드,2024,[723] 목재 성형제품
유한회사강청,2024,[305] 다목적 세정제
선진B&amp;T,2024,[305] 다목적 세정제
위지트에너지,2024,[225] 수도 계량기
현대성우쏠라이트,2024,[603] 산업용 축전지
선종산업,2024,[766] 종량제 쓰레기 봉투
신환경복합창,2024,[250] 창호 및 창호부속품
아트온,2024,[210] LED 등기구
토지,2024,[245] 투수 콘크리트 제품
지심엘앤씨,2024,[209] 일반조명용 LED 램프
화인인더스트리,2024,[252] 장식용 합성수지 시트
태광약품,2024,[608] 탈취제
일진하이콘,2024,[745] 블록·타일·판재류
씨제이에이치디씨비오솔,2024,[724] 생분해성 수지 제품
신원화학,2024,[243] 보온·단열재
우성피엔에프,2024,[721] 합성수지 제품
고뫄스방수,2024,[244] 건설용 방수재
나노인스텍,2024,[721] 합성수지 제품
세기하이테크건설,2024,[241] 페인트
모노,2024,[246] 실내용 바닥 장식재
동우플라스틱,2024,[721] 합성수지 제품
중원윈테크,2024,[250] 창호 및 창호부속품
에코한성,2024,[724] 생분해성 수지 제품
사이클론,2024,[104] 토너카트리지
서우파이프,2024,[721] 합성수지 제품
그린아이코트,2024,[241] 페인트
강우건설,2024,[241] 페인트
은평조명,2024,[210] LED 등기구
대금산업,2024,[210] LED 등기구
금산씨엔씨,2024,[250] 창호 및 창호부속품
케이디,2024,[225] 수도 계량기
예림화학,2024,[250] 창호 및 창호부속품
비지에프에코솔루션,2024,[724] 생분해성 수지 제품
영신,2024,[610] 제설제
비츠로파워,2024,[603] 산업용 축전지
글로벌코리아,2024,[223] 대변기
엠파워,2024,[612] 산업용 리튬이차 단전지
에스피에스엔에이,2024,[744] 슬래그 가공 제품
우주엘이디,2024,[210] LED 등기구
트리엠,2024,[144] 개인용 컴퓨터
신호인더스트리,2024,[252] 장식용 합성수지 시트
치즈팩토리,2024,[102] 사무용지
금산콘크리트,2024,[745] 블록·타일·판재류
리싸이클,2024,[241] 페인트
다산퍼스,2024,[172] 가구
우리콘크리트,2024,[744] 슬래그 가공 제품
유원티이씨,2024,[765] 소화기
은성창호건설,2024,[250] 창호 및 창호부속품
윈도우코리아,2024,[250] 창호 및 창호부속품
하나로오에이퍼니처,2024,[172] 가구
폼테크,2024,[243] 보온·단열재
희성,2024,[210] LED 등기구
비아이랜드,2024,[257] 인조잔디 및 인조잔디 구성 부품
현대하이텍,2024,[241] 페인트
불스원,2024,[509] 자동차용 창유리 세정액
새한수지,2024,[243] 보온·단열재
연합공사,2024,[250] 창호 및 창호부속품
꼬레프,2024,[241] 페인트
은하시스템,2024,[172] 가구
헬프네이쳐,2024,[724] 생분해성 수지 제품
서문팀버,2024,[246] 실내용 바닥 장식재
명가,2024,[250] 창호 및 창호부속품
큐브 앤 에이디케이,2024,[242] 벽지
현대환경개발,2024,[745] 블록·타일·판재류
녹수,2024,[246] 실내용 바닥 장식재
비지,2024,[608] 탈취제
세명크리텍,2024,[241] 페인트
영진폴리텍,2024,[721] 합성수지 제품
삼성케미칼,2024,[727] 바이오매스 유래 합성수지 제품
코나엠,2024,[721] 합성수지 제품
오륜스포츠,2024,[257] 인조잔디 및 인조잔디 구성 부품
태멘,2024,[721] 합성수지 제품
영주산업,2024,[746] 골재 및 미분말
소프트아쿠아,2024,[608] 탈취제
태성이앤씨,2024,[250] 창호 및 창호부속품
씨알씨,2024,[721] 합성수지 제품
미로드,2024,[722] 고무제품
성우엔지니어링,2024,[250] 창호 및 창호부속품
신화건설,2024,[250] 창호 및 창호부속품
숲으로,2024,[745] 블록·타일·판재류
한밭케미칼,2024,[607] 수처리제
한국장애인정보격차해소지원협회-피아스톤사업부,2024,[745] 블록·타일·판재류
영도콘크리트,2024,[745] 블록·타일·판재류
대륙신소재,2024,[744] 슬래그 가공 제품
가락산업,2024,[746] 골재 및 미분말
크나우프인슐레이션,2024,[243] 보온·단열재
유건알미늄,2024,[250] 창호 및 창호부속품
우성화학,2024,[246] 실내용 바닥 장식재
비엠에스코리아,2024,[246] 실내용 바닥 장식재
에이치티,2024,[723] 목재 성형제품
광진콘크리트,2024,[745] 블록·타일·판재류
에스티시,2024,[241] 페인트
이엔에프,2024,[745] 블록·타일·판재류
삼부아스콘,2024,[743] 무기성 토목·건축 자재
밝은세상,2024,[210] LED 등기구
제이에스조명,2024,[210] LED 등기구
보광아스콘,2024,[743] 무기성 토목·건축 자재
유니크시스템,2024,[250] 창호 및 창호부속품
다래월드,2024,[308] 샴푸·린스
케이시스,2024,[265] 발광다이오드 전광판
한국지체장애인협회,2024,[766] 종량제 쓰레기 봉투
서원퍼니처,2024,[172] 가구
대우가구,2024,[483] 침대 및 매트리스
한일시멘트,2024,[251] 접착제
아이트로닉스,2024,[265] 발광다이오드 전광판
제이에스,2024,[746] 골재 및 미분말
비젼테크,2024,[209] 일반조명용 LED 램프
미래피앤씨,2024,[241] 페인트
보령텍스타일,2024,[254] 장식용 섬유 제품
경용개발,2024,[241] 페인트
본텍,2024,[244] 건설용 방수재
오공티에스,2024,[251] 접착제
경원건설,2024,[250] 창호 및 창호부속품
부산은행,2024,[721] 합성수지 제품
중방콘크리트,2024,[745] 블록·타일·판재류
조흥,2024,[303] 주방용 세제
하나조명,2024,[210] LED 등기구
도원그린산업,2024,[241] 페인트
에스티엑스바이오,2024,[608] 탈취제
디엔건설산업,2024,[250] 창호 및 창호부속품
승일콘크리트,2024,[745] 블록·타일·판재류
정도이앤피,2024,[241] 페인트
솔패이브,2024,[241] 페인트
태산파우텍,2024,[743] 무기성 토목·건축 자재
필이엔지,2024,[210] LED 등기구
그린가드,2024,[766] 종량제 쓰레기 봉투
애플젠,2024,[229] 비데
제이월드산업,2024,[327] 발포 합성수지제 매트
진명홈바스,2024,[221] 수도꼭지
인성에이앤티,2024,[743] 무기성 토목·건축 자재
문화전기,2024,[210] LED 등기구
그린파이프,2024,[721] 합성수지 제품
우리우드,2024,[726] 목재.합성수지 복합 성형제품
미래인더스트리,2024,[721] 합성수지 제품
세광조명산업사,2024,[210] LED 등기구
에코인슈텍,2024,[243] 보온·단열재
신한이엔지,2024,[241] 페인트
함께하는 나눔과이음 조명사업단,2024,[210] LED 등기구
지에프시알엔디,2024,[241] 페인트
유진씨엠,2024,[243] 보온·단열재
포스텍네트웍스,2024,[265] 발광다이오드 전광판
하나타올공업,2024,[311] 의류
조은팩,2024,[724] 생분해성 수지 제품
바스데이,2024,[221] 수도꼭지
이노웍스,2024,[210] LED 등기구
한샘,2024,[223] 대변기
엔와이컴퓨터,2024,[144] 개인용 컴퓨터
태영파티션,2024,[174] 사무용 칸막이
케이씨환경디자인,2024,[210] LED 등기구
비에스아이조명,2024,[210] LED 등기구
피죤,2024,[303] 주방용 세제
윈체,2024,[250] 창호 및 창호부속품
나무나라,2024,[723] 목재 성형제품
선에코,2024,[241] 페인트
도담,2024,[722] 고무제품
창림건업,2024,[244] 건설용 방수재
엘에스엠앤엠,2024,[744] 슬래그 가공 제품
리뉴콘대원,2024,[746] 골재 및 미분말
이데아,2024,[210] LED 등기구
티오켐,2024,[241] 페인트
메리스랩,2024,[325] 완구
동광산업,2024,[251] 접착제
컴트리,2024,[145] 노트북 컴퓨터
원양건설,2024,[241] 페인트
보은아스콘,2024,[743] 무기성 토목·건축 자재
대일환경산업,2024,[745] 블록·타일·판재류
라이온코리아,2024,[303] 주방용 세제
원택,2024,[721] 합성수지 제품
보성포리테크,2024,[721] 합성수지 제품
위드퍼,2024,[723] 목재 성형제품
교일,2024,[246] 실내용 바닥 장식재
세광,2024,[743] 무기성 토목·건축 자재
유바이오텍,2024,[608] 탈취제
에스필코리아,2024,[209] 일반조명용 LED 램프
코오롱글로텍,2024,[257] 인조잔디 및 인조잔디 구성 부품
한진테크,2024,[225] 수도 계량기
지오스,2024,[257] 인조잔디 및 인조잔디 구성 부품
삼성계기공업,2024,[225] 수도 계량기
윈스틸,2024,[250] 창호 및 창호부속품
가산방재기술,2024,[768] 포소화약제
멜텍,2024,[246] 실내용 바닥 장식재
채움테크,2024,[210] LED 등기구
화신코리아,2024,[210] LED 등기구
헨켈홈케어코리아,2024,[303] 주방용 세제
에스디비,2024,[241] 페인트
신도,2024,[250] 창호 및 창호부속품
영진이엘,2024,[210] LED 등기구
한빛건설,2024,[250] 창호 및 창호부속품
창그리고문,2024,[250] 창호 및 창호부속품
녹색산업,2024,[743] 무기성 토목·건축 자재
88콘크리트,2024,[245] 투수 콘크리트 제품
한산콘크리트,2024,[745] 블록·타일·판재류
괴산아스콘,2024,[743] 무기성 토목·건축 자재
다성산업개발,2024,[744] 슬래그 가공 제품
효성금속,2024,[250] 창호 및 창호부속품
해성우드,2024,[246] 실내용 바닥 장식재
회명워터젠,2024,[607] 수처리제
유신에코,2024,[724] 생분해성 수지 제품
영림화학,2024,[250] 창호 및 창호부속품
대혜건축,2024,[248] 벽 및 천장 마감재
충북산업,2024,[745] 블록·타일·판재류
정안레미콘아스콘,2024,[743] 무기성 토목·건축 자재
수빈조명,2024,[210] LED 등기구
아성제약,2024,[608] 탈취제
정석인터내셔널,2024,[248] 벽 및 천장 마감재
금화전선,2024,[207] 전선케이블
한일콘,2024,[241] 페인트
신한벽지,2024,[242] 벽지
다원벽지,2024,[242] 벽지
새빛이앤엘,2024,[210] LED 등기구
삶본,2024,[304] 업소용 식기세척기용 세제
스마트합성데크,2024,[721] 합성수지 제품
다솜,2024,[221] 수도꼭지
천성산업개발,2024,[743] 무기성 토목·건축 자재
명일폼,2024,[243] 보온·단열재
한양방수,2024,[244] 건설용 방수재
개나리벽지,2024,[242] 벽지
동아방수,2024,[244] 건설용 방수재
세종윈텍,2024,[250] 창호 및 창호부속품
자온,2024,[223] 대변기
디에이치개발,2024,[743] 무기성 토목·건축 자재
소울터보호작업장,2024,[321] 화장지
대한장애인복지협회CSI시스템,2024,[210] LED 등기구
에코앤드림,2024,[305] 다목적 세정제
넥스코,2024,[721] 합성수지 제품
동해시장애인보호작업장,2024,[766] 종량제 쓰레기 봉투
세광데코,2024,[252] 장식용 합성수지 시트
지에스티지,2024,[257] 인조잔디 및 인조잔디 구성 부품
바스엔,2024,[223] 대변기
로드데코,2024,[241] 페인트
성현케미칼,2024,[243] 보온·단열재
디아이디,2024,[242] 벽지
신성아르마니,2024,[483] 침대 및 매트리스
제니시스,2024,[174] 사무용 칸막이
모아큐비클,2024,[723] 목재 성형제품
인텍,2024,[144] 개인용 컴퓨터
해성태프론,2024,[104] 토너카트리지
삼이씨앤지,2024,[245] 투수 콘크리트 제품
대신산업,2024,[243] 보온·단열재
창주산업,2024,[743] 무기성 토목·건축 자재
썬폴리폼,2024,[243] 보온·단열재
이에스창호,2024,[250] 창호 및 창호부속품
서울벽지,2024,[242] 벽지
다현산업,2024,[743] 무기성 토목·건축 자재
운석,2024,[608] 탈취제
해강에프앤에이,2024,[248] 벽 및 천장 마감재
노리터장애인보호작업장,2024,[321] 화장지
사회복지법인천주교청주교구사회복지회프란치스코의집,2024,[321] 화장지
스페이스인코,2024,[244] 건설용 방수재
중앙케미칼후로아,2024,[241] 페인트
서경,2024,[103] 종이 점착테이프 및 종이 점착시트
진보아스콘,2024,[743] 무기성 토목·건축 자재
동원개발,2024,[745] 블록·타일·판재류
원기업,2024,[745] 블록·타일·판재류
휴롬엘에스,2024,[767] 음식쓰레기 감량화 기기
큰바위콘크리트,2024,[745] 블록·타일·판재류
동반성장산업협회 아이에너지사업단,2024,[210] LED 등기구
조광페인트,2024,[241] 페인트
벽산페인트,2024,[241] 페인트
정은종합건설,2024,[241] 페인트
더 윈,2024,[250] 창호 및 창호부속품
정암,2024,[244] 건설용 방수재
경인씨엔씨,2024,[608] 탈취제
강남제비스코,2024,[241] 페인트
지엘텍,2024,[210] LED 등기구
한양세라믹,2024,[241] 페인트
두앤비,2024,[246] 실내용 바닥 장식재
삼정전기,2024,[210] LED 등기구
정연산업,2024,[246] 실내용 바닥 장식재
우성콘크리트,2024,[744] 슬래그 가공 제품
케이에이치건설,2024,[744] 슬래그 가공 제품
케이팀버,2024,[246] 실내용 바닥 장식재
간석목재산업,2024,[246] 실내용 바닥 장식재
에코프랑,2024,[608] 탈취제
영진개발경산공장,2024,[743] 무기성 토목·건축 자재
풍산마루,2024,[246] 실내용 바닥 장식재
엠케이세라믹,2024,[745] 블록·타일·판재류
세제몰,2024,[304] 업소용 식기세척기용 세제
중앙알텍,2024,[250] 창호 및 창호부속품
다윈그룹,2024,[724] 생분해성 수지 제품
비제이,2024,[250] 창호 및 창호부속품
비오티스엔텍,2024,[608] 탈취제
디와이씨,2024,[305] 다목적 세정제
영진배수판,2024,[721] 합성수지 제품
케이씨씨실리콘,2024,[259] 건축용 실링재
인터바스,2024,[223] 대변기
누리,2024,[250] 창호 및 창호부속품
글로윈스,2024,[250] 창호 및 창호부속품
라온복지기전사업단,2024,[210] LED 등기구
승진하이텍,2024,[723] 목재 성형제품
비엔비,2024,[243] 보온·단열재
삼정비알,2024,[745] 블록·타일·판재류
긴키테크코리아,2024,[250] 창호 및 창호부속품
에스디페이브,2024,[241] 페인트
건융,2024,[241] 페인트
진우건업,2024,[250] 창호 및 창호부속품
마스테코,2024,[264] 소방용 스프링클러헤드
대원환경산업,2024,[743] 무기성 토목·건축 자재
한국장애인편의증진협의회,2024,[745] 블록·타일·판재류
세원방수,2024,[244] 건설용 방수재
대광창호,2024,[250] 창호 및 창호부속품
명성기업,2024,[610] 제설제
대림산업,2024,[251] 접착제
신성프라스틱,2024,[746] 골재 및 미분말
대한인쇄씨앤씨,2024,[321] 화장지
지엠,2024,[250] 창호 및 창호부속품
중앙벽돌,2024,[745] 블록·타일·판재류
투마스트하우징,2024,[221] 수도꼭지
미주강화,2024,[744] 슬래그 가공 제품
에이닉스,2024,[144] 개인용 컴퓨터
한성교구,2024,[177] 학생용 책상 및 의자
나비시스템,2024,[250] 창호 및 창호부속품
서방이엔티,2024,[253] 이중 바닥재
케이원트레이딩,2024,[103] 종이 점착테이프 및 종이 점착시트
대림하우인,2024,[250] 창호 및 창호부속품
유아콘크리트,2024,[745] 블록·타일·판재류
비이텍,2024,[257] 인조잔디 및 인조잔디 구성 부품
TKR,2024,[250] 창호 및 창호부속품
안성테크,2024,[253] 이중 바닥재
한진산업,2024,[746] 골재 및 미분말
영광산업,2024,[766] 종량제 쓰레기 봉투
하우진,2024,[723] 목재 성형제품
네오퍼스,2024,[172] 가구
사단법인한국장애인고용창출협회,2024,[172] 가구
무림콘크리트,2024,[745] 블록·타일·판재류
신영엔텍,2024,[225] 수도 계량기
아름다움나눔협회사업단,2024,[210] LED 등기구
하나테크닉스,2024,[210] LED 등기구
하나룩스,2024,[210] LED 등기구
지케이조명,2024,[210] LED 등기구
디원라이트,2024,[210] LED 등기구
비티전자,2024,[210] LED 등기구
한덕건설산업,2024,[241] 페인트
엔비코,2024,[724] 생분해성 수지 제품
예광창호,2024,[250] 창호 및 창호부속품
엘아이티씨,2024,[210] LED 등기구
탑라이팅,2024,[210] LED 등기구
엘카퍼니처,2024,[172] 가구
오투,2024,[722] 재활용 고무제품
이스코인더스트리,2024,[743] 무기성 토목·건축 자재
이건산업,2024,[246] 실내용 바닥 장식재
태하시스템창호,2024,[250] 창호 및 창호부속품
탑룩스,2024,[210] LED 등기구
정우산업,2024,[243] 보온·단열재
에스이에프코리아,2024,[241] 페인트
영신산업,2024,[766] 종량제 쓰레기 봉투
엘파워,2024,[210] LED 등기구
미래건설산업,2024,[250] 창호 및 창호부속품
경남산업개발,2024,[250] 창호 및 창호부속품
비룡씨에이치씨,2024,[250] 창호 및 창호부속품
지오시스템즈,2024,[223] 대변기
알파큐,2024,[250] 창호 및 창호부속품
디엠파워,2024,[225] 수도 계량기
디엔오토모티브,2024,[603] 산업용 축전지
금강창호기공,2024,[250] 창호 및 창호부속품
네오케미칼,2024,[241] 페인트
청연,2024,[241] 페인트
지디시선산업,2024,[241] 페인트
영진하우징,2024,[251] 접착제
에스아이텍,2024,[243] 보온·단열재
아트원,2024,[304] 업소용 식기세척기용 세제
폴리테츠코리아,2024,[608] 탈취제
강남이앤알,2024,[244] 건설용 방수재
인터우드,2024,[246] 실내용 바닥 장식재
씨엠아이,2024,[246] 실내용 바닥 장식재
우드로,2024,[246] 실내용 바닥 장식재
삼신테크,2024,[726] 목재‧합성수지 복합 성형제품
아키플렉스,2024,[248] 벽 및 천장 마감재
금와이엔씨,2024,[241] 페인트
이룸에스앤디,2024,[723] 목재 성형제품
오룡건설산업,2024,[250] 창호 및 창호부속품
동일수지,2024,[243] 보온·단열재
효성,2024,[146] 디지털 프로젝터
대진아스콘,2024,[743] 무기성 토목·건축 자재
폼피아,2024,[243] 보온·단열재
충무용사촌,2024,[210] LED 등기구
새인산업,2024,[743] 무기성 토목·건축 자재
필드마스터,2024,[257] 인조잔디 및 인조잔디 구성 부품
피플코리아,2024,[241] 페인트
나눔세상,2024,[175] 의자
두진테크,2024,[250] 창호 및 창호부속품
동양기업,2024,[726] 목재.합성수지 복합 성형제품
상개장애인보호작업장,2024,[311] 의류
아진산업자,2024,[250] 창호 및 창호부속품
유솔,2024,[763] 전기·전자 제품용 부품
일호산업,2024,[253] 이중 바닥재
신광콘크리트,2024,[745] 블록·타일·판재류
강원파이프산업,2024,[721] 합성수지 제품
진테크비젼,2024,[221] 수도꼭지
디엘시스템,2024,[250] 창호 및 창호부속품
대진건설산업,2024,[250] 창호 및 창호부속품
하이에스텍,2024,[210] LED 등기구
행복일자리 장애인보호작업장,2024,[210] LED 등기구
한솔제지,2024,[101] 인쇄용지
하나씨앤에스,2024,[210] LED 등기구
경동원,2024,[743] 무기성 토목·건축 자재
신세계자원,2024,[746] 골재 및 미분말
고창기업,2024,[745] 블록·타일·판재류
오광개발,2024,[745] 블록·타일·판재류
정석케미칼,2024,[241] 페인트
이에프티,2024,[607] 수처리제
고려비엔피,2024,[608] 탈취제
한국에프앤에이,2024,[246] 실내용 바닥 장식재
대한도로페인트,2024,[241] 페인트
부천수지,2024,[243] 보온·단열재
영우산업,2024,[721] 합성수지 제품
나대영,2024,[745] 블록·타일·판재류
유니온,2024,[251] 접착제
성방산업,2024,[250] 창호 및 창호부속품
한국오키시스템즈,2024,[142] 프린터
평산테크,2024,[208] 전기 손 건조기
북원이앤씨,2024,[250] 창호 및 창호부속품
장애인한빛,2024,[210] LED 등기구
씨엘,2024,[210] LED 등기구
신양씨앤에스,2024,[175] 의자
피움,2024,[241] 페인트
안산건업,2024,[250] 창호 및 창호부속품
강청,2024,[301] 세탁·주방용 비누
뉴델데코텍,2024,[252] 장식용 합성수지 시트
대양공영,2024,[243] 보온·단열재
에이치에스세라믹,2024,[228] 소변기
경동나비엔,2024,[261] 가스 보일러
선우시스,2024,[250] 창호 및 창호부속품
칠대장 안산경기지사,2024,[241] 페인트
윈가람,2024,[250] 창호 및 창호부속품
영창인프라,2024,[241] 페인트
케이더블유씨,2024,[103] 종이 점착테이프 및 종이 점착시트
팬에코,2024,[724] 생분해성 수지 제품
광우,2024,[611] 윤활유
부강테크,2024,[608] 탈취제
대원전선,2024,[207] 전선케이블
신창산업,2024,[250] 창호 및 창호부속품
원진알미늄,2024,[250] 창호 및 창호부속품
태경에이엘씨,2024,[250] 창호 및 창호부속품
모던라인테크,2024,[248] 벽 및 천장 마감재
두성에코,2024,[745] 블록·타일·판재류
귀뚜라미,2024,[261] 가스 보일러
씨케이건설,2024,[241] 페인트
딜라이트,2024,[210] LED 등기구
티엠,2024,[257] 인조잔디 및 인조잔디 구성 부품
일강,2024,[745] 블록·타일·판재류
삼화제지,2024,[101] 인쇄용지
삼한,2024,[241] 페인트
에이컴,2024,[210] LED 등기구
창조코프레이션,2024,[210] LED 등기구
여명라이팅,2024,[210] LED 등기구
동수건설,2024,[250] 창호 및 창호부속품
다인,2024,[243] 보온·단열재
완전방수,2024,[244] 건설용 방수재
신진테크,2024,[246] 실내용 바닥 장식재
유니포스,2024,[241] 페인트
에어론,2024,[243] 보온·단열재
데코하임,2024,[256] 장식용 인조피혁
에스시스텍,2024,[723] 목재 성형제품
광일체어,2024,[175] 의자
양정산업사,2024,[766] 종량제 쓰레기 봉투
아이플로,2024,[221] 수도꼭지
삼성환경개발,2024,[746] 골재 및 미분말
덕원기업,2024,[721] 합성수지 제품
그린바이오,2024,[724] 생분해성 수지 제품
이우드,2024,[250] 창호 및 창호부속품
티엠로직스,2024,[304] 업소용 식기세척기용 세제
한국제지,2024,[102] 사무용지
한성산업,2024,[250] 창호 및 창호부속품
벽산아이씨엠,2024,[253] 이중 바닥재
쌍곰,2024,[241] 페인트
일아그린,2024,[746] 골재 및 미분말
청람콘크리트,2024,[745] 블록·타일·판재류
크리미오,2024,[302] 세탁용 세제
오공,2024,[251] 접착제
가나안복지재단가나안근로복지관,2024,[104] 토너카트리지
농업회사법인엘바이오텍,2024,[608] 탈취제
고려에프에이,2024,[744] 슬래그 가공 제품
서광양행,2024,[104] 토너카트리지
흥진산업,2024,[743] 무기성 토목·건축 자재
킴스테크,2024,[242] 벽지
스플랜트,2024,[257] 인조잔디 및 인조잔디 구성 부품
에스에이치케이 종이없는벽지,2024,[241] 페인트
신동진산업,2024,[746] 골재 및 미분말
제이에스 동부사업소,2024,[746] 골재 및 미분말
테크엔,2024,[209] 일반조명용 LED 램프
더서울테크,2024,[265] 발광다이오드 전광판
한승케미칼,2024,[607] 수처리제
웹스,2024,[723] 목재 성형제품
대진내장,2024,[723] 목재 성형제품
진우엘텍,2024,[210] LED 등기구
광진산업,2024,[321] 화장지
반석,2024,[250] 창호 및 창호부속품
대양아스콘,2024,[743] 무기성 토목·건축 자재
와이씨씨,2024,[610] 제설제
송원엔지니어링,2024,[721] 합성수지 제품
강원랜드,2024,[801] 호텔 서비스
포보코리아,2024,[246] 실내용 바닥 장식재
파인트리코리아,2024,[209] 일반조명용 LED 램프
해신체어,2024,[172] 가구
성원이즈,2024,[246] 실내용 바닥 장식재
큐브스엘이디,2024,[210] LED 등기구
삼종기업사,2024,[745] 블록·타일·판재류
비제이텍,2024,[243] 보온·단열재
농업회사법인서하피엔디,2024,[724] 생분해성 수지 제품
금강개발,2024,[746] 골재 및 미분말
에버라이텍,2024,[210] LED 등기구
진영,2024,[252] 장식용 합성수지 시트
이엔엘,2024,[210] LED 등기구
케이엘,2024,[241] 페인트
청심,2024,[721] 합성수지 제품
대한알미늄,2024,[250] 창호 및 창호부속품
해광,2024,[241] 페인트
이지탑,2024,[248] 벽 및 천장 마감재
오토코리아,2024,[721] 합성수지 제품
에코그라운드,2024,[257] 인조잔디 및 인조잔디 구성 부품
젬,2024,[210] LED 등기구
제이퍼스,2024,[172] 가구
소프롱,2024,[222] 샤워헤드 및 수도꼭지 절수 부속
선진디엔씨,2024,[250] 창호 및 창호부속품
대한산업,2024,[721] 합성수지 제품
삼동산업,2024,[724] 생분해성 수지 제품
홍우비앤티,2024,[745] 블록·타일·판재류
마루다움,2024,[246] 실내용 바닥 장식재
선진마루,2024,[246] 실내용 바닥 장식재
에스제이켐,2024,[607] 수처리제
상우건설,2024,[250] 창호 및 창호부속품
금용산업개발,2024,[743] 무기성 토목·건축 자재
정안산업,2024,[743] 무기성 토목·건축 자재
